phrasalVerb,example
go on to,The President went on television to appeal for calm.
go on to,The meeting went on a lot longer than I expected.
go on to,They eventually went on to win the championship.
go on to,"Tina is six, going on seven."
go on to,We can’t go on like this any more. Things have got to change.
go on to,We’re going on holiday next week.
go on to,"When you finish the first section of the test, go on to the next."
go on to,Why don’t you go on without me?
go on to,Workers voted by a large majority to go on strike.
go on to,"You do go on, don’t you?"
go on to,"‘Don’t you look nice!’ ‘Oh, go on with you!’"
go on with,"After Moscow, we went on to St Petersburg for a couple of days."
go on with,Burton smiled and went on with his work.
go on with,Go on! She didn’t really say that.
go on with,"Go on, try it – it’s really good."
go on with,He encouraged her to go on with her story.
go on with,He needs to go on stronger medication.
go on with,He went on and on about (=talked for a long time) me being late for work again.
go on with,I don’t go on until the final act.
go on with,I heard the TV go on in the next room.
go on with,I really must go on a diet!
go on with,I wonder what’s going on next door – they’re making a lot of noise.
go on with,It will go on sale this summer.
go on with,Owen went on in the 75th minute.
go on with,Please go on – I didn’t mean to interrupt you.
go on with,She can’t go on pretending that everything is fine when it clearly isn’t.
go on with,She tends to go on about how clever her children are.
go on with,"Since there were no witnesses, the police had little to go on."
go on with,The President went on television to appeal for calm.
go on with,The meeting went on a lot longer than I expected.
go on with,They eventually went on to win the championship.
go on with,"Tina is six, going on seven."
go on with,We can’t go on like this any more. Things have got to change.
go on with,We’re going on holiday next week.
go on with,"When you finish the first section of the test, go on to the next."
go on with,Why don’t you go on without me?
go on with,Workers voted by a large majority to go on strike.
go on with,"You do go on, don’t you?"
go on with,"‘Don’t you look nice!’ ‘Oh, go on with you!’"
go out,Classic jewellery like this will never go out of fashion.
go out,England went out of the World Cup amid great controversy.
go out,Even over the whine of the generator I heard the air go out of him.
go out,Greg used to go out with Katy.
go out,"He was good-looking, though, and certainly did not have to look far to find a woman who would go out with him."
go out,How long have Rob and Sue been going out?
go out,"I have to go out to the airport, have a few words with Ambassador Pavane."
go out,I wanted the evenings free for going out with friends.
go out,"If the postal workers go out on strike, other sectors may well join them."
go out,It was all money due to go out to the shipowners in the New Year... apart from my two per cent.
go out,Last year’s champion went out in the second round.
go out,Let’s go out to eat tonight.
go out,She wasn’t allowed go out and play with the other kids.
go out,She wished she had been able to go out to South Africa with Nicola.
go out,That hairstyle went out about ten years ago.
go out,The fire must have gone out during the night.
go out,The invitations haven’t gone out yet.
go out,The show doesn’t go out until after most kids have gone to bed.
go out,We haven’t gone out dancing for a long time.
go out,We’ve been going out together for three months now.
go out,Word went out that the factory was in danger of closing.
go out of,All the excitement had gone out of living in the city.
go out to,City went out to European champions Barcelona
go out to,Our thoughts go out to the victims of yesterday’s earthquake.
go out with,Classic jewellery like this will never go out of fashion.
go out with,England went out of the World Cup amid great controversy.
go out with,Greg used to go out with Katy.
go out with,How long have Rob and Sue been going out?
go out with,I wanted the evenings free for going out with friends.
go out with,"If the postal workers go out on strike, other sectors may well join them."
go out with,Last year’s champion went out in the second round.
go out with,Let’s go out to eat tonight.
go out with,She wasn’t allowed go out and play with the other kids.
go out with,She wished she had been able to go out to South Africa with Nicola.
go out with,That hairstyle went out about ten years ago.
go out with,The fire must have gone out during the night.
go out with,The invitations haven’t gone out yet.
go out with,The show doesn’t go out until after most kids have gone to bed.
go out with,We haven’t gone out dancing for a long time.
go out with,We’ve been going out together for three months now.
go out with,Word went out that the factory was in danger of closing.
go over,Because we are going over to play a game we're probably not going to do a whole lot.
go over,But so is picking a cheaper deal and getting charged for going over your allowance.
go over,"Carefully, she went over the entire raft, looking for clues."
go over,Children often had abdominal injuries after dashing out in front of a car and going over the top.
go over,Could you go over this report and correct any mistakes?
go over,Go over the figures carefully before you commit.
go over,Had one of them gone over to the dark side?
go over,He had already fired a warning when his shot went over the bar after a mazy run.
go over,He went over to the window and closed the curtains.
go over,"He’d gone over the car with a cloth, wiping fingerprints from the steering wheel and the door handles."
go over,How did the news go over with your parents?
go over,I think it has gone over the top.
go over,I think most just go over it.
go over,I went over and checked to see if she was OK.
go over,"It was as though we went over about a thousand marbles""."
go over,It was still rising as it went over the bar.
go over,Last night’s performance went over very well.
go over,My mind was going over the curious events at Ingard House.
go over,Put it on the bottom shelf where the dregs of society get a real going over.
go over,Schools have a tendency to go over the top about drugs.
go over,So you go over and talk about salad.
go over,Strikers complained because it kept going over the bar.
go over,Sue’s going to help me go over my lines for the play.
go over,Take in a deep breath as you raise your arms and breathe out as you go over to one side.
go over,They went over to John’s for dinner last night.
go over,This area is to be gone over with the greatest of care.
go over,Those teachers go over and help get some things established.
go over,To think of going over the moor in the daylight and when the sky was blue!
go over,"We had met a year ago, when I went over to Paris to see an exhibition."
go over,"We keep going over the play, reading it a million times."
go over,We need to see how he goes over the next couple of days in practice.
go over,We went over there to see her in the pony cart.
go over,Why don’t you go over and say hello?
go over,You get one man to go over the top and the others follow.
go over,You just need to let him move home and see how things go over email and phone.
go over to,The school went over to mixed-ability teaching three years ago.
go over to,We’ll be going over to Sydney for live coverage in just a couple of minutes.
go over to,What makes them go over to a party they once fought against?
go round,"""My father had a go-round with the school headmaster himself,"" Carl said, gloating a little."
go round,And my friend Mark has a large garden so sometimes I go round there.
go round,Are you going around to Tom’s after work?
go round,He caught a nasty flu virus that’s been going around.
go round,"I went around last night, but no one was in."
go round,"In some classes, there aren’t even enough books to go around."
go round,She used to go around with Susannah all the time.
go round,The hands of the clock seemed to go around so slowly.
go round,There’s a story going around the office that you’re thinking of leaving.
go round,"We usually sit in her kitchen when I go round, so I'd never seen them before."
go round,Why do you always go around without any shoes on?
go round,You can’t go around saying things like that!
go round,"`Izzy, a pimp's not supposed to go round drooling over his hooker."
go through,Collins went through every legal book she could find.
go through,Did he say a vow or go through a ceremony?
go through,Do not try to stay awake to go through the closing routine!
go through,Do you think the changes to the Bill will go through?
go through,Each audience member goes through it alone and is not passive.
go through,Even existing employees had to go through the whole application procedure again.
go through,Go through this book and complete each of the exercises that have been set.
go through,He’d gone through all his money by the end of the first week of his holiday.
go through,"In addition, assessors usually go through the exercises as participants before rating others."
go through,Last year he went through the competition without dropping a set in a sustained detonation of brilliance.
go through,Let’s go through your lines one more time.
go through,She couldn't stand to think of her going through them alone.
go through,She decides she can't go through with the ceremony until she lets him know just how much she loves him.
go through,She is going through a difficult time with her divorce.
go through,She went through her daily routine of clearing the breakfast table before settling down to handle the correspondence.
go through,So the dole queues grew smaller and the number of people on the sick list went through the roof.
go through,Some go through a period of mourning.
go through,Someone had broken into the office and gone through all the drawers.
go through,The entire print run sold out in one day and the book quickly went through five editions.
go through,The stories we heard of what those people went through on that day were hard to comprehend.
go through,The winners will go through to the competition 's semi-final stage.
go through,They go through a similar routine on returning to their pack from the hunt.
go through,They will just go through the motions only to tell us the wards will stay closed.
go through,Things need addressing as am not prepared to go through a relegation again.
go through,This week the trio announced they were going through the process again.
go through,We can’t really imagine what they’re going through.
go through,We did go through some dark times.
go through,We went through the list of available actresses again.
go through,What he had to go through has been just horrible.
go through,"When children are beginning to move out, parents usually go through a crisis."
go through,You go through a period feeling kind of vacant.
go through,You have to feel for a young bowler who goes through that experience.
go through,You went through a horrible experience made worse by the fear and anxiety he left you with.
go through,Your application must go through the proper channels.
go through with,I can’t believe he went through with the divorce.
go through with,What surprised her was how much she wanted him to go through with it.
go to,He then went to work on the car and had repaired it by lunchtime.
go to,I was just going to sleep when the phone rang.
go to,Our thanks go to everyone who helped to make this celebration a success.
go to,The house was supposed to go to her children when she died.
go to,The two countries have gone to war twice over the disputed territory.
go together,Accidents are second only to booze as the main hazard and the two often go together.
go together,But I think they go together well.
go together,For me the two kind of go together.
go together,God made the two to go together.
go together,He loves a drink and the two sort of go together.
go together,I don’t think the colours go together very well.
go together,"Ideally the two go together in a complex interplay, with the right in overall charge."
go together,"In fact, the two usually go together."
go together,Matt and Michelle have been going together since April.
go together,"Now, these two things often go together."
go together,Our voices would go together very well.
go together,Reading and seeing go together.
go together,Shrimps and peas go together almost as well as peaches and cream.
go together,Some things inevitably go together.
go together,That makes us really go together well.
go together,"The Japanese are quite partial to putting strawberries in sausages, while duck and cherry go together really well."
go together,There are some things that just go together.
go together,These two things have gone together - they are connected.
go together,These two things must go together to be effective.
go together,They only tell us that the two tend to go together.
go together,"They were not obviously linked, and they spanned three centuries, but one felt they went together in some elusive way."
go together,They're a couple of misfits who go together very well.
go together,"Thirty years on, we went together to see how things had worked out."
go together,Those are two things that rarely go together.
go together,Those two things go together.
go together,Too often greed and politics seem to go together.
go towards,Aides for both men insisted the money goes towards admin costs and neither gets any of the money personally.
go towards,"Almost half of that money has gone towards paying about 3,000 locals to carry out the work."
go towards,At a time when there is such fear of childhood obesity the money raised should go towards sport in the UK.
go towards,He added: 'I would like to see some of any money offenders earn going towards supporting their own families.
go towards,I wonder how far that amount would go towards resolving our current financial difficulties?
go towards,I've got mixed feelings about money going towards fireworks and acrobats.
go towards,Just think of the money which could go towards making our lives better rather than wasting it on blowing one another up.
go towards,"Most of the money goes towards subsidising farmers and funding infrastructure and employment projects, especially in the poorer regions."
go towards,Most of the money would go towards funding a new brewery.
go towards,People expect their money to go towards making quality programmes - not wasted on empty hotel rooms.
go towards,She hopes this money will go towards bringing up a family in the future.
go towards,Thanks to the cut-throat capitalism of European football almost all of this extra money will go towards buying players.
go towards,That money goes towards subsidising children from poorer nations (tickets are priced according to the gross domestic product of each country).
go towards,That money will now go towards capturing Bale.
go towards,The bulk of this money will go towards a deposit on my next house in Bristol.
go towards,"The money could go towards sport, hospitals or children and emergency charities."
go towards,"The money he earns goes towards his debts, while I buy all our food."
go towards,The money raised will go towards paying off the national debt.
go towards,The money raised will go towards rebuilding the children’s hospital.
go towards,The money should be going towards making football affordable for the real fans.
go towards,"The money will go towards energy efficiency measures, such as loft and cavity wall insulation."
go towards,The money would go towards the upkeep of the network.
go towards,The proceeds from the sale of the grounds will go towards the construction of a new stadium.
go towards,Think how far that money would go towards paying off the overdraft at Old Trafford.
go towards,This money will go towards the cost of storing the touring poppies and moving them around the UK.
go under,"But if its owners cannot fund its future, why not just let it go under?"
go under,"Fishing is a dangerous job and we are called out to emergencies, like if a boat goes under."
go under,"Hundreds of restaurants, hotels and other businesses go under all the time."
go under,I should have just gone under the radar and tried to get through the next couple of tasks.
go under,I was their ambassador and the business went under.
go under,I was unable to work for four months and my business went under.
go under,"I went under it, getting dragged along."
go under,I'D like to apologise to shops or businesses going under in these grim times.
go under,"In previous weeks, Posh would have just gone under."
go under,Is the British film industry going under?
go under,Just don't go under the tree for a few weeks unless you are picking.
go under,My favourite part was when you tried to build a bridge and see if a small boat could go under it.
go under,No one saw her go under.
go under,Only adult ones go under tree.
go under,She had an affluent upbringing but they lost it all when her father's business went under and they had to sell off their assets.
go under,She just basically went under and I realised she was no longer with us.
go under,She lost her parents and we've struggled to keep our business from going under.
go under,She said it was important to take responsibility for the fact that the business had gone under.
go under,So you won't be going under the laser one day.
go under,Sometimes such nice ones went under because temptation was so great.
go under,The crowd watched as the ship went slowly under.
go under,The picturesque property has just gone under offer with Savills.
go under,"This allows the money to be spent at a variety of retailers, so if one store goes under you can still spend your money elsewhere."
go under,"We did some bridge building, where you had to use wooden blocks to build a bridge and see if a boat could go under it."
go under,"Yes, there were experts and tests and visits that went under the surface of the story."
go under,You either go under or you get on top and I went on to score in the game.
go up,A cheer went up from the crowd.
go up,A new office block is going up on Oxford Street.
go up,"From the air, it looked as if the entire city was going up in flames."
go up,"He told me to go up, he'd join me, which he did, hours later, maybe two or three o'clock in the morning."
go up,Let’s go up to London next week.
go up,Max goes up to Scotland to fish every summer.
go up,"Obviously if he was going to talk to her, he was going to have to go up and interrupt them."
go up,Posters for the show are going up all over town.
go up,So we'll just tag along with you and the band when you go up tomorrow.
go up,The fire escape only went up to the second floor.
go up,The price of oil has gone up by over 50 per cent in less than a year.
go up,The whole building went up in just a few minutes.
go up,We’d like to see the baby’s weight going steadily up.
go up,`I reckon you should be prepared to go up to thirty million for this.
go up to,A cheer went up from the crowd.
go up to,A new office block is going up on Oxford Street.
go up to,"From the air, it looked as if the entire city was going up in flames."
go up to,Let’s go up to London next week.
go up to,Max goes up to Scotland to fish every summer.
go up to,Posters for the show are going up all over town.
go up to,The fire escape only went up to the second floor.
go up to,The price of oil has gone up by over 50 per cent in less than a year.
go up to,The whole building went up in just a few minutes.
go up to,We’d like to see the baby’s weight going steadily up.
go with,A fair amount of stress seems to go with jobs like this.
go with,Does a car go with the job?
go with,He makes me feel special --- like when you go with Jason and you tell me how great he makes you feel.
go with,I heard that Carol is going with the guy who works downstairs.
go with,I think we should go with yellow for the walls.
go with,I want the body of my wife shipped back to Kansas City - I'll go with her.
go with,Mother hates barbecuing and picnics and all the bugs that go with them.
go with,Which shoes go best with this dress?
go with,"You might be a play-acting spy, for all I can see, trying to get us to go with you."
go without,Another idea is an easily accessible cat flap so your kitty can come and go without scratching the door.
go without,But how far can a team go without some of their best players?
go without,But it was easier for us then - now there's nowhere you can go without getting recognised.
go without,But other studies suggest that making people go without the web can actually be counterproductive.
go without,Experts say we can go without food for just two months.
go without,He went without sleeping for two days.
go without,How long can we go without his income?
go without,If mothers claim benefits many can expect to go without meals to feed their children or to go to a food bank for the family.
go without,"In time your son will eat at nursery, but he can go without snacks."
go without,It goes without saying that consumers would be happier if prices were lower.
go without,It was like: 'How long can we keep going without people knowing?
go without,Lower body into a squat as low as you can go without allowing your knees to creep past your toes.
go without,"My family didn’t have a great deal of money, but we didn’t go without."
go without,"Of course, we hope he can, it goes without saying."
go without,Older guys that were back there in 1998 are still willing to see how far they can go without being caught.
go without,See how long you can go without talking This is way harder than you'd think.
go without,"Sleep is one of the most compelling mysteries in human life, and so powerful a force that none of us can go without it for long."
go without,The longest I can go without watching it is two weeks.
go without,There's nowhere he can go without being recognised.
go without,Three villages have gone without water for days.
go without,"While we are all forced to carry cards, foreigners can come and go without them."
gobble down,He gobbled down his lunch and left.
gobble up,I wonder if this will be enough of an incentive for kids to gobble up those horrible greens.
gobble up,The cakes had all been gobbled up.
gobble up,The military gobbles up all the money.
gobble up,We gobble up a Spanish tortilla and salad for lunch.
gouge out,They threatened to gouge his eyes out.
grab at,"Suddenly he was on his feet, grabbing at her sleeve."
grapple with,The government continued to grapple with the issue of public transport.
grasp at,Hands were grasping at his coat as he walked past.
grasp at,She was grasping at the chance to escape her problems.
grass on,He was too loyal to grass on his own brother.
grass over,That area is to be grassed over once again.
grass over,The gaping mass graves have been bulldozed flat and grassed over.
grass up,Who grassed him up to the police?
grass up,"You wouldn’t grass up an old mate, would you?"
grind away at,Powerful economic forces have been grinding away at the position of workers.
grind on,My other used to grind on about cluttering oneself up with unnecessary rubbish.
grind up,The seeds are ground up and later digested.
gross out,I am going to gross out an entire European nation with my bloody cuticles.
gross out,"I think there's more to this gross-out dream than-""'Just drop it, okay?"
gross up,The value will have to be grossed up to include tax.
grow in,In recent years cycling has grown in popularity.
grow in,She was growing in confidence every day.
grow in,The area has gradually grown in importance.
grow into,"As a couple, we have a tendency to let small problems grow into bigger crises."
grow into,But the alliance concept has grown into something much bigger.
grow into,Has the world 's biggest firm grown into a mean monster?
grow into,He had grown into a big boy.
grow into,If you don't tackle it now it could grow into a bigger problem.
grow into,"It is like a pilot light in a boiler which grows into a big flame, depending on our motivation or feelings towards something."
grow into,"Our son has grown into a big, strapping lad compared with the tiny premature babies in the neighbouring cots."
grow into,She had grown into a beautiful woman.
grow into,She needs time to grow into her new role.
grow into,Then the class gets bigger and bigger and that grows into a desire to be the most famous artist in the world.
grow into,This seedling should grow into a tall attractive plant.
grow into,"To their astonishment, these began to grow and grow into big cats."
grow into,We try to paint a compelling picture of whom or what we might become if we were to grow into God 's purposes for us.
grow on,But over time he grows on you.
grow on,The new house slowly began to grow on her.
grow out of,"Could it all grow out of the past, watered perhaps by a few idle rumours?"
grow out of,"Many great towers and spires, made of glittering sweeps of living stone, seemed to grow out of the valley's very rock."
grow out of,Other issues grew out of the policy review.
grow out of,The poems grew out of her disturbed imagination.
grow out of,They thought I would grow out of my fear of spiders.
grow out of,"`Cheer up, Harry, he'll grow out of it,' Gina told me over coffee."
grow out of,"`We're hoping that, living here and being settled, she may start to grow out of it."
grow to,Branson had grown accustomed to the old man’s eccentricities.
grow to,"By 1997, the town had grown big enough to need a school of its own."
grow to,By now the road network was growing at an alarming rate.
grow to,Fears were growing for his safety.
grow to,He has spent the past seven years growing his business.
grow to,"In the early part of the century, the industry grew steadily."
grow to,"In the right conditions, shellfish can grow to considerable sizes."
grow to,I’ve grown these geraniums from seed.
grow to,Nina was growing bored.
grow to,People need to be able to grow and develop in relationships.
grow to,She could feel the anger growing inside her.
grow to,She must have grown at least four inches since I saw her last.
grow to,Some of these creatures grew to a length of over 12 feet.
grow to,The database will grow in size as necessary.
grow to,The economy has grown by 7% over the past year.
grow to,The king grew increasingly suspicious of his officials.
grow to,The nights were growing darker.
grow to,The problem continues to grow.
grow to,The redwood tree can grow over 80 metres tall.
grow to,The trees grew almost to the water’s edge.
grow to,The waiting list for housing is growing longer every year.
grow to,The world’s population was growing faster than predicted.
grow to,They grew all their own vegetables.
grow to,Various crops are grown here.
grow to,We left some of the better trees and let them grow to maturity.
grow to,a fully grown lion
grow to,a ripple of laughter that grew to a delighted roar
grow to,plants that grow naturally in peat bogs
grow to,the country’s largest rice-growing area
grow to,‘Hasn’t Michael grown?’ said my aunt.
grow up,He grew up the elder of two children in a village near Warwick.
grow up,He never saw his father while he was growing up.
grow up,I grew up in London.
grow up,It wasn’t until my marriage ended that I really started to grow up.
grow up,She’s really starting to grow up now.
grow up,These young guys are meant to be role models for the kids growing up.
grow up,Two men who were switched at birth find their lives become intertwined as they grow up in newly independent India.
grow up,When you grow up in that alcoholic environment you become very tolerant to abuse.
grow up,the many small religious sects that grew up and flourished in the area
grow up on,We grew up on these stories.
guard against,Fibre in the diet is thought to guard against heart disease.
guard against,He also has his sights on cutting global warming and guarding against human extinction by helping to colonise other planets.
guard against,His absence yesterday was officially to guard against having to field the same questions that he will face then.
guard against,The element of surprise is difficult to guard against.
guard against,We need to guard against the possibility of people losing interest.
gulp back,"Sonia sat in the corner, gulping back the tears."
gulp down,I gulped down a coffee and left.
gulp in,"He came up from the water, greedily gulping in air."
gum up,`Heidi... promise me you won't stick gum up your nose tonight.
gun down,He was gunned down in his own doorway.
gun for,"He alone maintained a judicious calm, co-ordinating his spotters and waiting with the gun for the first boat's bow to cross the line."
gun for,He motioned with his gun for the Hardys to move out of the room ahead of him.
gun for,My mother gave me a package which she said contained a gun for my protection.
gun for,"Waiting was waiting, and it was beginning to seem like all I'd done was load Jack Howard's gun for him."
gussy up,It will gussy up a plain cotton sundress and comes in masses of colours.
gussy up,Over the past three decades hundreds of boozers have been gussied up into gastropubs.
gussy up,The company has been accused of gussying up its financial results.
gut out,"Brad spent his whole career winning matches he shouldn’t have won, just by gutting it out."
gut out,He had gutted out his first semester at military school.
hack into,Former News of the World editor Andy Coulson has been found guilty of conspiracy to hack phones.
hack into,I wasn’t sure I could hack the finance course.
hack into,Jo hacked a piece off the block of cheese.
hack into,She just couldn’t hack it as a journalist.
hack into,The boys were hacking at the undergrowth with heavy sticks.
hack into,The script had been hacked to pieces by an incompetent editor.
hack into,They hack into banks and transfer huge amounts of cash.
hack into,We hacked a trail through the bushes to bring in our supplies.
hack into,Young kids are finding they can hack the computers of large corporations.
hack up,The cat was hacking up a hairball.
hack up,The killer had hacked up the body.
hail from,My father hails from Yorkshire.
hammer away at,Defence lawyers hammered away at the witness’s credibility.
hammer away at,She spent all weekend hammering away at her novel.
hammer into,A good teacher will hammer these principles into students.
hammer out,A new deal was hammered out between the two banks.
hammer out,Christian got a hammer out of his pocket and knocked the padlock off on the first hit: `It's through here.
hammer out,In the end he had managed to hammer out a rough track that allowed the pickup truck to get up into the canyon.
hammer out,We'll hammer out an updated report that will surely convince Lloyd's and the cops that we're right about Brunner.
hammer out,"We're going to hammer out the details of how we can pension off Desmond, evict that shady adventurer Hall and close down St Paul's."
hand back,"After one last icy blast, I slid to a halt in front of the dealer and walked stiffly inside to hand back the keys."
hand back,He was due to hand back the keys of his apartment yesterday because he could no longer pay the rent.
hand back,"If enough of those borrowers decide to give up and hand back the house keys to the Government, taxpayers may be out of pocket."
hand back,"If you decide that you don't want to keep car, you can hand back the keys before you make the payment."
hand back,Jean handed the letter back to Doug.
hand back,"Labour crashed the car and should not be handed back the keys, the narrative will go."
hand back,More pub landlords are requiring financial assistance to persuade them not to hand back the keys.
hand back,Now I’ll hand you back to Fiona in the studio.
hand back,"The firm is axing 3,000 staff to stay afloat and admits it may be forced to hand back the keys to 47 homes to landlords."
hand back,The officer handed me my passport back.
hand back,"There, former owners often just hand back the keys and with it their liability."
hand back,"Twice in the past decade, failing companies have had to hand back the keys to the line."
hand down,"Chet rubbed his hand down his face, hoping that would set matters straight in his mind."
hand down,Every now and then he ran a hand down his face to clear the water from his eyes.
hand down,He slid a card on to the table and Kelly laid his hand down in front of him.
hand down,"He spread his fingers out, then slapped his hand down against the cold finish."
hand down,The family believes that the sentence handed down by the judge is too lenient.
hand down,These skills have been handed down from generation to generation.
hand in,All essays must be handed in by Tuesday.
hand in,"He stopped in front of me, a hand in his pocket, the other offered."
hand in,He’s going on Friday. He’s already handed in his notice.
hand in,Please hand in your keys when you leave the hotel.
hand in,She glanced at Damin who squeezed her hand in encouragement.
hand in,"The guy was polite and had a nice smile, but looked like a poorly educated ranch hand in his checkered shirt and dungarees."
hand in,"Their arms went round each other in a hug, her head on his shoulder, his hand in her hair."
hand on,"Come on, no one's blaming you -' She put a hand on his arm: a personal gesture."
hand on,For a second the room swam in front of David's eyes and he put a hand on the table to steady himself.
hand on,I decided not to hand this information on to the police.
hand on,"Sara kept her hand on the receiver, willing him not to be upset."
hand on,She snapped her head forward and sank her teeth into the thick wrist of the hand on her coat.
hand on,The farm will be handed on to his son.
hand out,A three-month sentence was handed out to the teenage boy.
hand out,"He departed from Pimlico homeless, his worldly possessions lumped in with his hand-out spare set of linen in a large plastic bag."
hand out,"Pagan stretched a hand out over the receiver, preventing the man from picking it up."
hand out,Ralph was handing out drinks.
hand out,They won’t hand out your phone number without permission.
hand out,"Unwary vagrants, too, who called at the vicarage hoping for a hand-out were often disconcerted to find themselves up on a charge."
hand out,Would you hand these papers out for me?
hand out,"`I guess why he did it was, he thought I was a wino who could do with a hand-out and a few uplifting words."
hand over,A surge of troops to speed the training of Afghan forces with the aim of handing over more responsibility now seems increasingly likely.
hand over,Albert bowed and handed over the letter.
hand over,Another had a hand over her eyes.
hand over,"Bold as brass, in broad daylight, they took the hint and handed over another."
hand over,"But this week, yet another was spotted handing over her phone number."
hand over,Can diplomacy regain upper hand over war?
hand over,"Excess cash handed over, passport taken to a back room, muffled sounds of phone calls."
hand over,Foot soldiers hand over wraps of cocaine to the punter.
hand over,"From here, we trek to the summit, scrambling the last few metres hand over foot as our feet sink deep into the snow."
hand over,Hand over responsibility for protecting us from the Armed Forces to the police.
hand over,He handed the car keys over to Stella.
hand over,I handed over yet another ten dollars and thundered that we had been robbed.
hand over,"In a digital age, money isn't something you hand over when the deal is done."
hand over,I’m now going to hand over to my colleague back in the studio.
hand over,"Let me hand you over to John, who will show you around."
hand over,MOST tailors would get the boot if they handed over something like this.
hand over,My next task was to see if anyone would hand over change to make a phone call.
hand over,"Once the new operation is up and running, responsibility is handed over to a local team."
hand over,One always has the upper hand over the other.
hand over,"One of our national teams, at least, has now conclusively gained the upper hand over the old enemy."
hand over,She can see herself handing over creative responsibility to her.
hand over,"Such a result for Bath will take all the class that they possesses, to be applied after the forwards have taken the upper hand over their counterparts."
hand over,The old woman handed over cash and cheques during eight months of being targeted by the rogue gang.
hand over,The suspects have now been handed over to the French authorities.
hand over,"The tax my companies hand over helps to pay for schools, hospitals and other essential services."
hand over,There are very few mothers from my part of the world who would hand over this responsibility to their sons.
hand over,They formally hand power over to the new government next week.
hand over,They have the upper hand over decent families who bring their children up to know right from wrong.
hand over,This means compromise and backroom politicking often have the upper hand over public battles.
hand over,We have had the upper hand over them in terms of results.
hand over,What has happened to all those I helped capture and hand over to the Iraqi judicial system?
hand round,Nina handed round mugs of hot coffee.
hang about,Groups of youths hung about street corners.
hang about,Hang about! That’s not what I meant at all.
hang about,We’d better not hang about: it’s ten o’clock already.
hang about!,Groups of youths hung about street corners.
hang about!,Hang about! That’s not what I meant at all.
hang about!,We’d better not hang about: it’s ten o’clock already.
hang around,"He'll go to one of them, do some kind of business, hang around."
hang around,"I hung around outside, waiting for the others."
hang around,Let’s not hang around or we’ll be late!
hang around with,Marie always hung around with boys.
hang back,How about hanging back awhile so they can get in their licks without feeling stupid?
hang on,Everything hangs on the result of the last race.
hang on,"Fear began to overwhelm her again, and she struggled to hang on."
hang on,Hang on a minute! That isn’t the dress she was wearing earlier.
hang on,I think we should hang on and see the end of the game.
hang on,Just sit still and hang on tight!
hang on,Scott-Hughes said we'd have no more than an hour's head start so hang on and enjoy the ride.
hang on,She looked as if she might have a job to hang on to him with just her natural beauty.
hang on,The few paltry heirlooms my mother had struggled so hard to hang on to.
hang on,The train rattled along and we both hung on to the straps.
hang on,The visiting team hung on for a narrow victory.
hang onto,"Fear began to overwhelm her again, and she struggled to hang on."
hang onto,Scott-Hughes said we'd have no more than an hour's head start so hang on and enjoy the ride.
hang onto,She looked as if she might have a job to hang on to him with just her natural beauty.
hang onto,"She still hung onto her wedding ring, even after the divorce."
hang onto,The few paltry heirlooms my mother had struggled so hard to hang on to.
hang out,"He tugged his shirt free of his belt, let it hang out over the gun."
hang out,"He was disappointed in her choice of restaurant, a noisy, yuppie hang-out, the sort of place where design took precedence over comfort."
hang out,Her royal self and her lady-in-waiting finally succeeded in being granted access to the famous celebrity hang-out Boudoir.
hang out,Office rumours start circulating over drinks in some bar where other advertising people hang out.
hang out,She knew all the clubs where he usually hung out.
hang out,Two students were hanging out of the second floor window.
hang out,"We play the seventeenth, that's Wednesday, hang out, play again the nineteenth, Revolution Day."
hang out,"We'd eat hot dogs, have a couple of beers and hang out together."
hang over,A sense of doom hung over the town.
hang over,The threat of homelessness hangs over hundreds of families.
hang together,And some ensembles don't quite hang together.
hang together,"Does it all hang together, though?"
hang together,"Her book is highly readable, but there is something about it that doesn't quite hang together."
hang together,I know young people hang together.
hang together,"Precisely how it all hangs together, though, might prove harder to grasp."
hang together,The speech doesn’t really hang together.
hang together,There may be a reason why it doesn't quite all hang together.
hang together,"While the new compositions were unfailingly ingenious, they did not always hang together as fluently as hoped."
hang up,"Finally, he was able to hang up, drained from the experience."
hang up,Greg hung up and sat back in his chair.
hang up,"If you don't have a hang-up about dating a younger man, give me a call."
hang up,Mac's phone rang fifteen times before Stone jiggled the hang-up bar in exasperation to get the desk clerk back on the line.
hang up,Nicola has decided it’s time to hang up her dancing shoes.
hang up,She had no idea why she didn't just hang up on Lorraine Temple.
hang up,"Starting to hang up, he was halted by the sudden, startling change in the quality of the voice."
hang up,The women hung up their coats and sat down.
hang up,"Time for the fishermen to haul in their boats, pull in the lobster pots, and hang up their nets for winter mending."
hang up,"Today that's not a hobby, that's a hang-up ,"" said Harriet."
hang up,"`Men tell me I've got a ` hang-up "" about sex, which is a roundabout way of saying I'm mad not to give them what they want."
hang up,"‘Get lost!’ she shouted, and hung up on me."
hang up on,Greg hung up and sat back in his chair.
hang up on,Nicola has decided it’s time to hang up her dancing shoes.
hang up on,The women hung up their coats and sat down.
hang up on,"‘Get lost!’ she shouted, and hung up on me."
hang with,"I’ll swim, go for walks, or hang with my friends."
happen to,"If anything happens to me (=if I die), you’ll have plenty of money to live on."
happen to,I’d never forgive myself if anything has happened to her because I didn’t go to meet her.
happen to,This is the best thing that’s ever happened to me.
happen to,We don’t understand what is happening to the economy.
happen to,Whatever happened to the idea of being innocent until proven guilty?
